src_path,dst_path,T,D,status
10run\20160318T094852.json,10npy_run\20160318T094852.json.npy,5000,84,ok
10run\20160318T101819.json,10npy_run\20160318T101819.json.npy,5000,84,ok
10run\20160318T105251.json,10npy_run\20160318T105251.json.npy,5000,84,ok
10run\20160321T094723.json,10npy_run\20160321T094723.json.npy,5000,84,ok
10run\20160322T105330.json,10npy_run\20160322T105330.json.npy,12000,84,ok
10run\20160323T074829.json,10npy_run\20160323T074829.json.npy,5000,84,ok
10run\20160324T104017.json,10npy_run\20160324T104017.json.npy,12000,84,ok
10run\20160324T114646.json,10npy_run\20160324T114646.json.npy,12000,84,ok
10run\20160329T104745.json,10npy_run\20160329T104745.json.npy,5000,84,ok
10run\20160329T121819.json,10npy_run\20160329T121819.json.npy,12000,84,ok
